Name,Rarity,Icon,Description,Action,Attack,Save,DmgHit,DmgMiss,DurationType,DurationQuantity,RangeUnits,RangeNormal,RangeLong,Recharge,TargetType,TargetUnits,TargetSize,TargetWidth,UsesMaximum,UsesRefresh
Melee Attack,Common,systems/dnd5e/icons/skills/violet_04.jpg,You attack a target within reach.,action,mwak,,"[damage, damageDie]",,,,ft,5,,,creature,,1,,,
"Melee Multiattack, 2",Common,systems/dnd5e/icons/skills/weapon_22.jpg,You make two attacks at targets within reach.,action,mwak,,"[round(damage / 2), damageDie]",,,,ft,5,,,creature,,1,,,
"Melee Multiattack, 3",Common,systems/dnd5e/icons/skills/weapon_08.jpg,You make three attacks at targets within reach.,action,mwak,,"[round(damage / 3), damageDie]",,,,ft,5,,,creature,,1,,,
Melee Condition Attack,Common,systems/dnd5e/icons/skills/violet_09.jpg,The target is <em>Blinded</em> until the end of its next turn.,action,mwak,,,,,,ft,5,,,creature,,1,,,
Melee Ongoing Attack,Common,systems/dnd5e/icons/skills/green_07.jpg,The target takes [damage] ongoing damage at the start of their turn. The target can make a Constitution saving throw (DC [dcPrimaryBonus]) at the end of their turns to remove this condition.,action,mwak,,,,,,ft,5,,,creature,,1,,,
Melee Area Attack,Common,systems/dnd5e/icons/skills/blue_15.jpg,You attack every enemy within reach.,action,mwak,,"[round(damage * 0.5), damageDie]","[round(damage * 0.25), damageDie]",,,self,0,,,radius,ft,5,,,
Melee Movement Attack,Common,systems/dnd5e/icons/skills/blue_36.jpg,The target is knocked back up to 15 ft.,action,mwak,,,,,,ft,5,,,creature,,1,,,
Melee Resource Attack,Common,systems/dnd5e/icons/skills/green_15.jpg,The target gains a failed death saving throw.,action,mwak,,,,,,ft,5,,,creature,,1,,,
"Melee Special Attack, Strong",Common,systems/dnd5e/icons/skills/yellow_16.jpg,You attack a target within reach.,action,save,str,"[damage, damageDie]",,,,ft,5,,,creature,,1,,,
"Melee Special Attack, Weak",Common,systems/dnd5e/icons/skills/yellow_27.jpg,You attack a target within reach.,action,other,str,"[damage, damageDie]",,,,ft,5,,,creature,,1,,,
"Melee Special Area Attack, Strong",Common,systems/dnd5e/icons/skills/emerald_01.jpg,You attack every enemy within reach.,action,save,str,"[round(damage * 0.5), damageDie]","[round(damage * 0.25), damageDie]",,,self,0,,,radius,ft,5,,,
"Melee Special Area Attack, Weak",Common,systems/dnd5e/icons/skills/blue_25.jpg,You attack every enemy within reach.,action,other,str,"[round(damage * 0.5), damageDie]","[round(damage * 0.25), damageDie]",,,self,0,,,radius,ft,5,,,
Melee Attack,Uncommon,systems/dnd5e/icons/skills/violet_04.jpg,You attack a target within reach.,action,mwak,,"[damage * 2, damageDie]",,,,ft,5,,,creature,,1,,3,sr
"Melee Multiattack, 2",Uncommon,systems/dnd5e/icons/skills/weapon_22.jpg,You make two attacks at targets within reach.,action,mwak,,"[damage, damageDie]",,,,ft,5,,,creature,,1,,3,sr
